Date,Open,High,Low,Close,Volume
15-Mar,15048.4,15048.4,14745.85,14929.5,0
16-Mar,14996.1,15051.6,14890.65,14910.45,0
17-Mar,14946.55,14956.55,14696.05,14721.3,0
18-Mar,14855.5,14875.2,14478.6,14557.85,0
19-Mar,14471.15,14788.25,14350.1,14744,0
22-Mar,14736.3,14763.9,14597.85,14736.4,0
23-Mar,14768.55,14878.6,14707,14814.75,0
24-Mar,14712.45,14752.35,14535,14549.4,0
25-Mar,14570.9,14575.6,14264.4,14324.9,0
26-Mar,14506.3,14572.9,14414.25,14507.3,0
30-Mar,14628.5,14876.3,14617.6,14845.1,0
31-Mar,14811.85,14813.75,14670.25,14690.7,0
1-Apr,14798.4,14883.2,14692.45,14867.35,0
5-Apr,14837.7,14849.85,14459.5,14637.8,0
6-Apr,14737,14779.1,14573.9,14683.5,0
7-Apr,14716.45,14879.8,14649.85,14819.05,0
8-Apr,14875.65,14984.15,14821.1,14873.8,0
9-Apr,14882.65,14918.45,14785.65,14834.85,0
12-Apr,14644.65,14652.5,14248.7,14310.8,0